RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
DDX52,HepG2,ENCSR970FEW,ENCSR991LWQ,"ENCFF479WLK,ENCFF560TLH,ENCFF522NFJ,ENCFF939HML","ENCFF356MCF,ENCFF879GTY","ENCFF591WOA,ENCFF539JUN",ENCFF257KKQ,DDX52 eCLIP mock input,"ENCFF258COW,ENCFF065PGK",ENCFF943JVS
BCLAF1,HepG2,ENCSR876EYA,ENCSR128BUO,"ENCFF463HOI,ENCFF033JHH,ENCFF695FAB,ENCFF490SCE","ENCFF376EDQ,ENCFF139XGO","ENCFF691JPV,ENCFF858HBB",ENCFF930HHV,BCLAF1 eCLIP mock input,"ENCFF096GCS,ENCFF173AOK",ENCFF291XOO
GRWD1,K562,ENCSR999YGP,ENCSR251FMT,"ENCFF248ZFV,ENCFF939DRW,ENCFF727IRZ,ENCFF569HJH","ENCFF885NJW,ENCFF491DNL","ENCFF757KMM,ENCFF607PIM",ENCFF146YIO,GRWD1 eCLIP mock input,"ENCFF398EKK,ENCFF214CCK",ENCFF811ULI
EIF3G,K562,ENCSR023PKW,ENCSR761AJD,"ENCFF548DYX,ENCFF627GSD,ENCFF908IVH,ENCFF364MMW","ENCFF613CYM,ENCFF083KKV","ENCFF362BDI,ENCFF258VPL",ENCFF534ONM,EIF3G eCLIP mock input,"ENCFF539DGJ,ENCFF743HXX",ENCFF750DBW
FASTKD2,HepG2,ENCSR023UHL,ENCSR671FKF,"ENCFF891HJO,ENCFF128ROY,ENCFF761ZXY,ENCFF540UVX","ENCFF903QKL,ENCFF121OYK","ENCFF503DBN,ENCFF136QLO",ENCFF265RIO,FASTKD2 eCLIP mock input,"ENCFF189FJO,ENCFF202HGO",ENCFF217NZS
SUPV3L1,HepG2,ENCSR580MFX,ENCSR376KLZ,"ENCFF300RXV,ENCFF956CPQ,ENCFF728OEM,ENCFF349HRX","ENCFF429MXX,ENCFF816LYN","ENCFF882KLS,ENCFF089NRQ",ENCFF758EWI,SUPV3L1 eCLIP mock input,"ENCFF258APN,ENCFF708EUI",ENCFF737MAB
HLTF,HepG2,ENCSR647HOX,ENCSR705DCQ,"ENCFF255ZCV,ENCFF992EIC,ENCFF150BXG,ENCFF622ZDB","ENCFF773TEB,ENCFF748PZV","ENCFF250KNJ,ENCFF490MGU",ENCFF410XHF,HLTF eCLIP mock input,"ENCFF272ZVR,ENCFF816KHR",ENCFF395HUI
SUGP2,HepG2,ENCSR506UPY,ENCSR895TTM,"ENCFF179OBF,ENCFF451TDR,ENCFF358YCG,ENCFF873UBU","ENCFF265BFS,ENCFF556QBW","ENCFF187DUQ,ENCFF699DTX",ENCFF764MPF,SUGP2 eCLIP mock input,"ENCFF126HSC,ENCFF598EKW",ENCFF021LLL
DHX30,HepG2,ENCSR565DGW,ENCSR151MPZ,"ENCFF797NFN,ENCFF831CXB,ENCFF969FSD,ENCFF827KOV","ENCFF259ZLG,ENCFF678OCJ","ENCFF506NPG,ENCFF191HRQ",ENCFF233ZXV,DHX30 eCLIP mock input,"ENCFF618ASS,ENCFF342RNA",ENCFF552GHW
XPO5,HepG2,ENCSR921SXC,ENCSR583KVR,"ENCFF039NQM,ENCFF172XZS,ENCFF865ZYB,ENCFF989AWZ","ENCFF581UJN,ENCFF679AXS","ENCFF756YND,ENCFF028MVM",ENCFF440FET,XPO5 eCLIP mock input,"ENCFF161GQY,ENCFF491CRL",ENCFF039AMW
SUPV3L1,K562,ENCSR580OFI,ENCSR328KKB,"ENCFF171KZO,ENCFF987DVU,ENCFF813UKO,ENCFF126HSF","ENCFF620GJH,ENCFF852ZSI","ENCFF942LSK,ENCFF207VRH",ENCFF901ABJ,SUPV3L1 eCLIP mock input,"ENCFF808KHS,ENCFF936WEJ",ENCFF445GIJ
PUS1,K562,ENCSR291XPT,ENCSR869TOB,"ENCFF049SUS,ENCFF906EMD,ENCFF479SQA,ENCFF320HAD","ENCFF489AEX,ENCFF334MWZ","ENCFF990JXJ,ENCFF268XIE",ENCFF470JIH,PUS1 eCLIP mock input,"ENCFF339KXC,ENCFF586BVD",ENCFF283DWL
AQR,K562,ENCSR606BPV,ENCSR952RGL,"ENCFF053NWA,ENCFF761MCX,ENCFF300ZIN,ENCFF441OJX","ENCFF235BMH,ENCFF345VSH","ENCFF325SFV,ENCFF465QKS",ENCFF400KYS,AQR eCLIP mock input,"ENCFF671DQC,ENCFF759FOS",ENCFF122NOF
RBFOX2,K562,ENCSR756CKJ,ENCSR051IXX,"ENCFF930TLO,ENCFF163QEA,ENCFF462CMF,ENCFF942TPA","ENCFF654XPT,ENCFF249RTF","ENCFF076RDA,ENCFF994PFX",ENCFF582WWR,RBFOX2 eCLIP mock input,"ENCFF495WQA,ENCFF492QZU",ENCFF045FUV
GEMIN5,K562,ENCSR238CLX,ENCSR347MVO,"ENCFF384BDA,ENCFF175TMY,ENCFF921PTG,ENCFF447WDR","ENCFF410UTY,ENCFF620MFE","ENCFF594WHT,ENCFF083ZYT",ENCFF875QBF,GEMIN5 eCLIP mock input,"ENCFF064TEN,ENCFF381NWX",ENCFF605CQT
HNRNPL,HepG2,ENCSR724RDN,ENCSR513UTE,"ENCFF149UBH,ENCFF761PZC,ENCFF242YTA,ENCFF081VYS","ENCFF840DTR,ENCFF894SMP","ENCFF581SSQ,ENCFF415HDB",ENCFF890KEE,HNRNPL eCLIP mock input,"ENCFF375ZHC,ENCFF676LYW",ENCFF139YRQ
PHF6,K562,ENCSR001KKZ,ENCSR103HDM,"ENCFF877HWY,ENCFF461CTN,ENCFF042XJN,ENCFF165KAR","ENCFF213NMK,ENCFF153JFX","ENCFF967JAT,ENCFF016IHL",ENCFF958EFT,PHF6 eCLIP mock input,"ENCFF928TNJ,ENCFF804TGO",ENCFF427GOR
DDX52,K562,ENCSR154CSN,ENCSR864XNB,"ENCFF794QAR,ENCFF533ART,ENCFF018JZA,ENCFF592QGC","ENCFF354DPT,ENCFF698DHB","ENCFF818KZJ,ENCFF343EUG",ENCFF888SME,DDX52 eCLIP mock input,"ENCFF947YWJ,ENCFF190PTC",ENCFF301JHF
DHX30,K562,ENCSR529GSJ,ENCSR224SND,"ENCFF238BOS,ENCFF116KYR,ENCFF413RCX,ENCFF510RNY","ENCFF846CJI,ENCFF301IKV","ENCFF507AKH,ENCFF634UAJ",ENCFF485NXM,DHX30 eCLIP mock input,"ENCFF418SOC,ENCFF245WDH",ENCFF325PKM
ZC3H8,K562,ENCSR181NRW,ENCSR716DGM,"ENCFF411LMS,ENCFF361EVD,ENCFF222OHT,ENCFF172VCZ","ENCFF302NJT,ENCFF717DIZ","ENCFF515ATI,ENCFF990BSZ",ENCFF207UUG,ZC3H8 eCLIP mock input,"ENCFF472ZEH,ENCFF903ROZ",ENCFF279QTB
ZC3H11A,K562,ENCSR712IAG,ENCSR321GBR,"ENCFF696WFR,ENCFF735ZUW,ENCFF730ZZF,ENCFF378WQX","ENCFF116JFD,ENCFF462QFK","ENCFF929BZH,ENCFF310KBC",ENCFF327WXM,ZC3H11A eCLIP mock input,"ENCFF394SQZ,ENCFF721JZR",ENCFF713XZZ
WDR3,K562,ENCSR202HKN,ENCSR033FWT,"ENCFF915BUQ,ENCFF953XOY,ENCFF270QTE,ENCFF733LSZ","ENCFF731PVT,ENCFF444UFA","ENCFF380SYQ,ENCFF991NPH",ENCFF215XPR,WDR3 eCLIP mock input,"ENCFF639TBT,ENCFF505OPV",ENCFF789QMT
UTP18,K562,ENCSR964VOX,ENCSR255PGS,"ENCFF656OVN,ENCFF386YUM,ENCFF038OVY,ENCFF795DXS","ENCFF946YXD,ENCFF724EMZ","ENCFF379LHC,ENCFF014AWF",ENCFF456SOS,UTP18 eCLIP mock input,"ENCFF372JTR,ENCFF315ECX",ENCFF342GWG
FUS,K562,ENCSR069EVH,ENCSR389ISM,"ENCFF307BRQ,ENCFF336ZEJ,ENCFF841ZLV,ENCFF554AWP","ENCFF297CPZ,ENCFF763LLF","ENCFF764SZR,ENCFF446LST",ENCFF777FHS,FUS eCLIP mock input,"ENCFF128HQK,ENCFF084ZXT",ENCFF481NLU
PUM1,K562,ENCSR308YNT,ENCSR832DWW,"ENCFF046QBX,ENCFF116YKN,ENCFF019LLG,ENCFF353ZJC","ENCFF463VDB,ENCFF353WDF","ENCFF933SBL,ENCFF060XYT",ENCFF969AOQ,PUM1 eCLIP mock input,"ENCFF475RBN,ENCFF294VPI",ENCFF344PFX
PCBP1,HepG2,ENCSR256CHX,ENCSR825FTY,"ENCFF725CBA,ENCFF125HTS,ENCFF627OUC,ENCFF973FFS","ENCFF547HEQ,ENCFF041ULU","ENCFF252BJN,ENCFF940CJE",ENCFF108TOJ,PCBP1 eCLIP mock input,"ENCFF693OCX,ENCFF468VDU",ENCFF935TUD
SERBP1,K562,ENCSR121GQH,ENCSR752YLF,"ENCFF628QLB,ENCFF690PXO,ENCFF412TCD,ENCFF007VAP","ENCFF918RID,ENCFF287EUA","ENCFF979XAE,ENCFF710IZS",ENCFF727HMM,SERBP1 eCLIP mock input,"ENCFF997VKX,ENCFF012GQR",ENCFF257CGL
FUS,HepG2,ENCSR464OSH,ENCSR986HXA,"ENCFF400CXS,ENCFF331AAL,ENCFF161SRN,ENCFF821CAW","ENCFF014VCG,ENCFF311LXM","ENCFF106CGP,ENCFF163PLH",ENCFF336WDV,FUS eCLIP mock input,"ENCFF078WXK,ENCFF609YLK",ENCFF654ULI
MATR3,HepG2,ENCSR290VLT,ENCSR438XYI,"ENCFF891MFI,ENCFF453ITV,ENCFF527QLM,ENCFF927IJF","ENCFF719KGK,ENCFF764PHF","ENCFF874BAL,ENCFF333CUY",ENCFF298YFY,MATR3 eCLIP mock input,"ENCFF396MHA,ENCFF480VLX",ENCFF790VFN
PTBP1,HepG2,ENCSR384KAN,ENCSR438NCK,"ENCFF824TZM,ENCFF921MMF,ENCFF176JNE,ENCFF515WDT","ENCFF395VNE,ENCFF938PTT","ENCFF154BAE,ENCFF471GJE",ENCFF170SCU,PTBP1 eCLIP mock input,"ENCFF585EFC,ENCFF583UFX",ENCFF603FCS
AKAP1,K562,ENCSR177QQY,ENCSR544UON,"ENCFF413SVN,ENCFF916SOX,ENCFF187YLY,ENCFF013IBR","ENCFF981APU,ENCFF581UEA","ENCFF972INE,ENCFF701BNI",ENCFF151ZTH,AKAP1 eCLIP mock input,"ENCFF208EFX,ENCFF317MHT",ENCFF447WQT
HNRNPC,K562,ENCSR249ROI,ENCSR960OKV,"ENCFF937KFG,ENCFF734JPC,ENCFF149LRA,ENCFF669MUY","ENCFF381SDJ,ENCFF669YBJ","ENCFF062LWZ,ENCFF971ZDB",ENCFF159HMF,HNRNPC eCLIP mock input,"ENCFF309BBY,ENCFF143NLE",ENCFF338MIV
CPEB4,K562,ENCSR046JHH,ENCSR533BNK,"ENCFF764VBB,ENCFF445MTV,ENCFF423MRZ,ENCFF854FIH","ENCFF165CFI,ENCFF161SFX","ENCFF379DBY,ENCFF104VMP",ENCFF153CMF,CPEB4 eCLIP mock input,"ENCFF732JDY,ENCFF296WZS",ENCFF777AFV
NIP7,HepG2,ENCSR361OCV,ENCSR138HJN,"ENCFF260EIZ,ENCFF125GZY,ENCFF427MET,ENCFF134AMO","ENCFF251ZRM,ENCFF048BEP","ENCFF077RVD,ENCFF527MFS",ENCFF955VYD,NIP7 eCLIP mock input,"ENCFF850JPJ,ENCFF023VWU",ENCFF325ZEZ
AKAP1,HepG2,ENCSR356ZMO,ENCSR902XTJ,"ENCFF852ECZ,ENCFF672HYO,ENCFF990EAG,ENCFF075DAU","ENCFF430MTS,ENCFF847SYN","ENCFF271UXH,ENCFF807KPM",ENCFF575BCP,AKAP1 eCLIP mock input,"ENCFF956TUZ,ENCFF378CCG",ENCFF008YNL
G3BP1,HepG2,ENCSR721HPX,ENCSR907EBB,"ENCFF557CZU,ENCFF486NTL,ENCFF342WGS,ENCFF065SWB","ENCFF564AEK,ENCFF340DMM","ENCFF934JFZ,ENCFF165JYX",ENCFF963CVD,G3BP1 eCLIP mock input,"ENCFF483ETG,ENCFF574CCO",ENCFF581DQC
FXR2,HepG2,ENCSR973HOJ,ENCSR592ESN,"ENCFF733GMZ,ENCFF074OYO,ENCFF034XGK,ENCFF300OPL","ENCFF032TZM,ENCFF385GCC","ENCFF815YGA,ENCFF246SBA",ENCFF149CJJ,FXR2 eCLIP mock input,"ENCFF052EKD,ENCFF160EHF",ENCFF936GTY
MATR3,K562,ENCSR440SUX,ENCSR183FVK,"ENCFF991YSW,ENCFF365CXY,ENCFF358JCT,ENCFF806OBL","ENCFF457BSQ,ENCFF010BJI","ENCFF121ZEY,ENCFF904GOE",ENCFF046VQV,MATR3 eCLIP mock input,"ENCFF401KWK,ENCFF230VBS",ENCFF245VHY
PCBP1,K562,ENCSR922WJV,ENCSR322KLN,"ENCFF754BZY,ENCFF010ECT,ENCFF795GKY,ENCFF466YKR","ENCFF175YZC,ENCFF030CFW","ENCFF381ZBA,ENCFF022GSN",ENCFF431FMQ,PCBP1 eCLIP mock input,"ENCFF998SFM,ENCFF747VRT",ENCFF524GUO
EXOSC5,HepG2,ENCSR693JWP,ENCSR831WYG,"ENCFF173ODI,ENCFF507EGU,ENCFF578XQC,ENCFF383ASP,ENCFF603RJN,ENCFF622OZH,ENCFF735QHY,ENCFF261AZU,ENCFF165IYB,ENCFF050JGG","ENCFF144JVB,ENCFF535JNJ","ENCFF120LSF,ENCFF360EQG",ENCFF937QJB,EXOSC5 eCLIP mock input,"ENCFF418PCV,ENCFF190LZU",ENCFF500BEE
FTO,HepG2,ENCSR903PRV,ENCSR343MKJ,"ENCFF580QMH,ENCFF820YSI,ENCFF214SLR,ENCFF096YYD,ENCFF099LFN,ENCFF233ZOI,ENCFF844HAH,ENCFF790KRT,ENCFF428MRF,ENCFF460IHR","ENCFF723DFF,ENCFF063UTV","ENCFF655JNU,ENCFF925SGC",ENCFF034YUT,FTO eCLIP mock input,"ENCFF104YFG,ENCFF028JUM",ENCFF310NFE
UPF1,HepG2,ENCSR539BEV,ENCSR042RCU,"ENCFF022DHH,ENCFF881UQQ,ENCFF943HIX,ENCFF528BUU","ENCFF315BLR,ENCFF787DWG","ENCFF848JHB,ENCFF483STL",ENCFF242FDW,UPF1 eCLIP mock input,"ENCFF159XFE,ENCFF257MNA",ENCFF639BOG
YBX3,HepG2,ENCSR735HOK,ENCSR700UGT,"ENCFF428UJW,ENCFF070GQY,ENCFF594XZD,ENCFF593QXS","ENCFF843MHP,ENCFF331WIZ","ENCFF268SII,ENCFF904UKX",ENCFF075TIW,YBX3 eCLIP mock input,"ENCFF706KON,ENCFF798TFX",ENCFF576RGE
SSB,HepG2,ENCSR352STY,ENCSR145ZKN,"ENCFF527CYH,ENCFF916XEL,ENCFF120ZCK,ENCFF432KDL","ENCFF746AWW,ENCFF856EEK","ENCFF828WCR,ENCFF746RLH",ENCFF565RQI,SSB eCLIP mock input,"ENCFF291AXK,ENCFF634ZXH",ENCFF820ONK
ABCF1,K562,ENCSR089BXO,ENCSR857ORY,"ENCFF087VMD,ENCFF241MTQ,ENCFF212LWQ,ENCFF781LAN","ENCFF203DRR,ENCFF906OCW","ENCFF376NBT,ENCFF332BZR",ENCFF929AVT,ABCF1 eCLIP mock input,"ENCFF022GWO,ENCFF039OUK",ENCFF817YCI
ZNF800,K562,ENCSR586DGV,ENCSR615ZYL,"ENCFF642EHH,ENCFF737XQX,ENCFF009EJC,ENCFF631INY","ENCFF270YPL,ENCFF303MEM","ENCFF806GQI,ENCFF787LVR",ENCFF579NNP,ZNF800 eCLIP mock input,"ENCFF369AIZ,ENCFF034ROO",ENCFF762HKJ
SSB,K562,ENCSR356MSW,ENCSR680HYD,"ENCFF734LCT,ENCFF258RPS,ENCFF677KYJ,ENCFF676BHH","ENCFF659FQL,ENCFF022SQB","ENCFF704NUD,ENCFF871PJK",ENCFF324PNB,SSB eCLIP mock input,"ENCFF830PVF,ENCFF642QNB",ENCFF662VUV
SDAD1,K562,ENCSR906ZJF,ENCSR155XOS,"ENCFF012LSN,ENCFF646DAJ,ENCFF019OYM,ENCFF856AGT","ENCFF262TRZ,ENCFF998XEU","ENCFF475FOJ,ENCFF642DGM",ENCFF241KPE,SDAD1 eCLIP mock input,"ENCFF863JKQ,ENCFF953KYZ",ENCFF982LYY
ZNF800,HepG2,ENCSR685AUR,ENCSR624CUX,"ENCFF160MKE,ENCFF348GPW,ENCFF959DLJ,ENCFF343DKZ","ENCFF643WBT,ENCFF248VYV","ENCFF038BAZ,ENCFF660MWG",ENCFF793EJK,ZNF800 eCLIP mock input,"ENCFF356RSL,ENCFF362SXF",ENCFF966FGY
SDAD1,HepG2,ENCSR050BDZ,ENCSR130ZDS,"ENCFF283KXT,ENCFF522VGK,ENCFF772OQA,ENCFF861PYS","ENCFF875HEP,ENCFF004ZSD","ENCFF325VKM,ENCFF943KDD",ENCFF075XTM,SDAD1 eCLIP mock input,"ENCFF942DWN,ENCFF908FHY",ENCFF575PPP
SAFB,HepG2,ENCSR337XGI,ENCSR451BRX,"ENCFF040MFF,ENCFF134UTH,ENCFF272SVX,ENCFF707BBC","ENCFF255QDJ,ENCFF669OQB","ENCFF035IYP,ENCFF932VUF",ENCFF469SRC,SAFB eCLIP mock input,"ENCFF147POJ,ENCFF184MJQ",ENCFF172IOQ
SAFB,K562,ENCSR484LAB,ENCSR111USM,"ENCFF198ESK,ENCFF484YDH,ENCFF983WHV,ENCFF607DEZ","ENCFF759SQV,ENCFF251LGV","ENCFF639MAG,ENCFF407GVQ",ENCFF934PXE,SAFB eCLIP mock input,"ENCFF085YZL,ENCFF855ENR",ENCFF840WOP
PABPN1,HepG2,ENCSR820UYE,ENCSR310WYE,"ENCFF937NJC,ENCFF009PZB,ENCFF049DAF,ENCFF482ULC","ENCFF441BOM,ENCFF922VHA","ENCFF190DLZ,ENCFF927DMJ",ENCFF975HKC,PABPN1 eCLIP mock input,"ENCFF598XCN,ENCFF204AJE",ENCFF224LLH
PRPF4,HepG2,ENCSR977OXG,ENCSR367ACZ,"ENCFF601DRB,ENCFF397TFH,ENCFF041DDW,ENCFF541DXC","ENCFF714PLV,ENCFF690QDN","ENCFF270OMS,ENCFF383UPL",ENCFF485KCC,PRPF4 eCLIP mock input,"ENCFF560IMA,ENCFF343WLN",ENCFF827HXV
TIAL1,HepG2,ENCSR322HHA,ENCSR599YGK,"ENCFF164ZGA,ENCFF959XKN,ENCFF430UQQ,ENCFF708YAL","ENCFF118ANT,ENCFF620WSX","ENCFF456DAU,ENCFF473IIG",ENCFF387ZAH,TIAL1 eCLIP mock input,"ENCFF335LFP,ENCFF095YOS",ENCFF593ZRE
KHSRP,HepG2,ENCSR366DGX,ENCSR423QXH,"ENCFF950SML,ENCFF503GYR,ENCFF844XLZ,ENCFF840EOA","ENCFF464FAG,ENCFF963RSK","ENCFF509GWT,ENCFF891IAC",ENCFF553APP,KHSRP eCLIP mock input,"ENCFF638CND,ENCFF665FHS",ENCFF792HHG
AQR,HepG2,ENCSR018WPY,ENCSR716AKC,"ENCFF019WXR,ENCFF455ERC,ENCFF166EBF,ENCFF985BEH","ENCFF615YND,ENCFF072DMC","ENCFF016UFV,ENCFF791WOH",ENCFF351RHN,AQR eCLIP mock input,"ENCFF862RKC,ENCFF746PPV",ENCFF673RJW
