RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
U2AF1,HepG2,ENCSR328LLU,ENCSR941GJG,"ENCFF222RBX,ENCFF249GEL,ENCFF084CWF,ENCFF569ESD","ENCFF318ITR,ENCFF062APM","ENCFF078SCZ,ENCFF295GHA",ENCFF021VWK,U2AF1 eCLIP mock input,"ENCFF036XAD,ENCFF189CPD",ENCFF753HXO
HNRNPA1,HepG2,ENCSR769UEW,ENCSR110XNS,"ENCFF997GSC,ENCFF068NOP,ENCFF361AWK,ENCFF224UUW","ENCFF963VIU,ENCFF804BLC","ENCFF535MAE,ENCFF604WJZ",ENCFF121XLA,HNRNPA1 eCLIP mock input,"ENCFF854MYE,ENCFF483JSE",ENCFF205PBQ
DDX21,K562,ENCSR040QLV,ENCSR266XXD,"ENCFF671GCD,ENCFF363TSA,ENCFF946SJB,ENCFF253EGX","ENCFF845KUG,ENCFF099RYM","ENCFF572GMO,ENCFF945XNS",ENCFF800GPC,DDX21 eCLIP mock input,"ENCFF790GSX,ENCFF953OQX",ENCFF787VFD
TIA1,K562,ENCSR057DWB,ENCSR356GCJ,"ENCFF893QVN,ENCFF604VPQ,ENCFF710AFX,ENCFF820BWG","ENCFF314LSF,ENCFF900OHV","ENCFF509PKA,ENCFF673MNH",ENCFF298ZAG,TIA1 eCLIP mock input,"ENCFF441RYK,ENCFF504YTU",ENCFF644ZWS
HNRNPUL1,K562,ENCSR571VHI,ENCSR482AWB,"ENCFF621CZT,ENCFF658VCP,ENCFF831UXT,ENCFF342XLD","ENCFF270LHK,ENCFF472FBT","ENCFF297PQZ,ENCFF734NGD",ENCFF821EXR,HNRNPUL1 eCLIP mock input,"ENCFF129UTE,ENCFF207FLE",ENCFF868UQK
PRPF8,HepG2,ENCSR121NVA,ENCSR565KBR,"ENCFF507XFA,ENCFF074MHP,ENCFF419BEO,ENCFF770UHE","ENCFF244MEN,ENCFF134AZF","ENCFF646XFI,ENCFF156PFJ",ENCFF865SCT,PRPF8 eCLIP mock input,"ENCFF998PYJ,ENCFF025IVF",ENCFF849APG
CSTF2T,HepG2,ENCSR919HSE,ENCSR391GLS,"ENCFF762UXF,ENCFF860GJP,ENCFF093WJU,ENCFF313BCR","ENCFF346HHC,ENCFF268ECW","ENCFF700HIR,ENCFF786JAM",ENCFF945YRD,CSTF2T eCLIP mock input,"ENCFF094OOZ,ENCFF895RAR",ENCFF073SGO
FAM120A,HepG2,ENCSR987NYS,ENCSR839KAX,"ENCFF687SEY,ENCFF545IVO,ENCFF319ICK,ENCFF815UFF","ENCFF105IAX,ENCFF599VUS","ENCFF511SXK,ENCFF287ADK",ENCFF741FRL,FAM120A eCLIP mock input,"ENCFF869DFG,ENCFF903ZBT",ENCFF333KJO
LARP7,HepG2,ENCSR961OKA,ENCSR095SIV,"ENCFF932HYJ,ENCFF834FSL,ENCFF237QRX,ENCFF419HTA","ENCFF406RMO,ENCFF805KJP","ENCFF699ZLU,ENCFF440FLF",ENCFF302FFF,LARP7 eCLIP mock input,"ENCFF029VYS,ENCFF076AKR",ENCFF015FBQ
SRSF1,HepG2,ENCSR989VIY,ENCSR499ZCU,"ENCFF017IOI,ENCFF816JAS,ENCFF851FZF,ENCFF286FKW","ENCFF953OZR,ENCFF832WNY","ENCFF179SCM,ENCFF184TBM",ENCFF530MIN,SRSF1 eCLIP mock input,"ENCFF614VTZ,ENCFF831COI",ENCFF445NNG
