RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
GEMIN5,HepG2,ENCSR771QMJ,ENCSR689PHN,"ENCFF436ELI,ENCFF389VYH,ENCFF196UCW,ENCFF100MUM","ENCFF962VUU,ENCFF500VFR","ENCFF766LHE,ENCFF678JQU",ENCFF798WKZ,ENCFF005PIU,ENCFF136LHQ,ENCFF424FFL,ENCFF038WSC,ENCFF371EOP,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
RBM15,HepG2,ENCSR599PXD,ENCSR585KOJ,"ENCFF731UZZ,ENCFF132LKO,ENCFF313YGK,ENCFF590JFP","ENCFF598XVT,ENCFF418OZB","ENCFF200VUU,ENCFF159HVQ",ENCFF326WLB,ENCFF489BOR,ENCFF766ATT,ENCFF015QZQ,ENCFF282DAW,ENCFF092LAC,non-target,"ENCFF011KFI,ENCFF701HKR,ENCFF200CUU,ENCFF239LDQ","ENCFF836ZPZ,ENCFF017OAA","ENCFF363ROT,ENCFF630SYM"
UTP18,HepG2,ENCSR269ZAO,ENCSR691IVR,"ENCFF924EZD,ENCFF444BKK,ENCFF605VXW,ENCFF913ZEI","ENCFF219OWH,ENCFF576LMK","ENCFF633YPB,ENCFF102XVG",ENCFF848WYS,ENCFF860PHK,ENCFF256HUW,ENCFF014HOU,ENCFF976JTC,ENCFF368LAK,non-target,"ENCFF248RMM,ENCFF349QHG,ENCFF947QZH,ENCFF258VUW","ENCFF115BQI,ENCFF715AGI","ENCFF072ZOG,ENCFF573ATS"
GTF2F1,HepG2,ENCSR295XKC,ENCSR491FOC,"ENCFF882JQH,ENCFF518ZOL,ENCFF401ZXD,ENCFF345ONV","ENCFF570WZG,ENCFF241EAJ","ENCFF177ILT,ENCFF902TLV",ENCFF258VWP,ENCFF363JLM,ENCFF112ZUJ,ENCFF086GSP,ENCFF923ZIV,ENCFF847RKK,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
NELFE,HepG2,ENCSR939ZRA,ENCSR603TCV,"ENCFF035GSF,ENCFF695JZD,ENCFF147BWT,ENCFF361CFU","ENCFF269RNF,ENCFF957GUJ","ENCFF343QKG,ENCFF143BWV",ENCFF855BXQ,ENCFF733AZQ,ENCFF489WXT,ENCFF769MNP,ENCFF120GBA,ENCFF737WIY,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
SF1,HepG2,ENCSR644AIM,ENCSR104ABF,"ENCFF367RQM,ENCFF037GYP,ENCFF332XYA,ENCFF469XWM","ENCFF164JOP,ENCFF887DJY","ENCFF084KXM,ENCFF938BQO",ENCFF992BIJ,ENCFF795CGZ,ENCFF692CUB,ENCFF767QQN,ENCFF727HED,ENCFF337QHL,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
TRA2A,HepG2,ENCSR030GZQ,ENCSR491FOC,"ENCFF670SQS,ENCFF599WMX,ENCFF307NOS,ENCFF808UZU","ENCFF593MYQ,ENCFF578EXH","ENCFF401DYD,ENCFF459BTW",ENCFF888JQH,ENCFF825ZLW,ENCFF825TZF,ENCFF319ZTE,ENCFF088XUV,ENCFF261VIZ,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
G3BP2,HepG2,ENCSR945UYL,ENCSR237YZT,"ENCFF383DLH,ENCFF346MFF,ENCFF565IUW,ENCFF129JWT","ENCFF562NOS,ENCFF035NBS","ENCFF798CJD,ENCFF779NOY",ENCFF053PVT,ENCFF688ZOI,ENCFF101DLJ,ENCFF272KWL,ENCFF102YSQ,ENCFF047QJN,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
SND1,HepG2,ENCSR398LZW,ENCSR491FOC,"ENCFF223HHS,ENCFF410DEW,ENCFF048SDS,ENCFF189TUQ","ENCFF283VKH,ENCFF758JDY","ENCFF292CMI,ENCFF791MHZ",ENCFF655CYP,ENCFF434SHD,ENCFF239XXQ,ENCFF939AVW,ENCFF997EMI,ENCFF513TNU,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
PARN,HepG2,ENCSR825QXH,ENCSR305XWT,"ENCFF146URB,ENCFF969VMA,ENCFF614MDM,ENCFF665CRU","ENCFF185BCI,ENCFF859SVA","ENCFF828OVZ,ENCFF196AOU",ENCFF108ONI,ENCFF888UTV,ENCFF831QJP,ENCFF249ZLF,ENCFF972VOC,ENCFF453AHR,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
TRIM56,HepG2,ENCSR309HXK,ENCSR305XWT,"ENCFF197PKZ,ENCFF172DFO,ENCFF510QXH,ENCFF513LJK","ENCFF669FDH,ENCFF301ZPR","ENCFF709JIQ,ENCFF879AZY",ENCFF015AAK,ENCFF476YFD,ENCFF025UIU,ENCFF974JHZ,ENCFF966RNL,ENCFF056KBC,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
SAFB2,HepG2,ENCSR110ZYD,ENCSR305XWT,"ENCFF625DDR,ENCFF405XDB,ENCFF437OYV,ENCFF578LUJ","ENCFF434WKD,ENCFF205GZW","ENCFF098KQW,ENCFF525BHH",ENCFF150IMI,ENCFF094AKB,ENCFF842USI,ENCFF437ZUK,ENCFF006CLF,ENCFF841SVK,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
EXOSC9,HepG2,ENCSR597IYB,ENCSR003EKR,"ENCFF172DTK,ENCFF839ISD,ENCFF681TYJ,ENCFF545VDQ","ENCFF077TZR,ENCFF363NEI","ENCFF796KVU,ENCFF350EJK",ENCFF778LKQ,ENCFF877SOM,ENCFF212USH,ENCFF058SDE,ENCFF968GTX,ENCFF043PRZ,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
TIA1,HepG2,ENCSR057GCF,ENCSR603TCV,"ENCFF338TUE,ENCFF578TWY,ENCFF695YNR,ENCFF741EQA","ENCFF690DUO,ENCFF143PAE","ENCFF213GMC,ENCFF325FQK",ENCFF718NLS,ENCFF669XFB,ENCFF223RPB,ENCFF591KDA,ENCFF729WTG,ENCFF258ZJM,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
LARP4,HepG2,ENCSR744PAQ,ENCSR135LXL,"ENCFF604CLV,ENCFF597AES,ENCFF996ORV,ENCFF905PJJ","ENCFF583GGM,ENCFF183BFP","ENCFF161OSV,ENCFF124KOT",ENCFF692RAB,ENCFF980POA,ENCFF628GXF,ENCFF727XGW,ENCFF678QPW,ENCFF552TEW,non-target,"ENCFF226MZL,ENCFF108KML,ENCFF512QIR,ENCFF816KYC","ENCFF711NDL,ENCFF772LMC","ENCFF403LSL,ENCFF899UQY"
HNRNPM,HepG2,ENCSR995JMS,ENCSR067GHD,"ENCFF230STX,ENCFF634KSW,ENCFF592ZZR,ENCFF306TVJ","ENCFF303DFN,ENCFF833UFJ","ENCFF843GRN,ENCFF168RBP",ENCFF119APD,ENCFF852PSH,ENCFF176LCB,ENCFF306IVV,ENCFF556WZQ,ENCFF171YPJ,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
CIRBP,HepG2,ENCSR230ORC,ENCSR237YZT,"ENCFF809EGB,ENCFF474WTL,ENCFF714DEB,ENCFF680XKT","ENCFF949KOV,ENCFF299XEY","ENCFF794JHZ,ENCFF505COV",ENCFF109ESX,ENCFF333NUF,ENCFF551OYI,ENCFF732NXF,ENCFF153OMG,ENCFF995DIA,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
EIF3G,HepG2,ENCSR778AJO,ENCSR003EKR,"ENCFF092VKU,ENCFF458TZY,ENCFF665JHX,ENCFF867UBG","ENCFF430WMT,ENCFF614QOI","ENCFF369CJA,ENCFF464JCF",ENCFF185NCW,ENCFF710XRD,ENCFF433WPS,ENCFF441ZTW,ENCFF312TXP,ENCFF605SMH,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
LARP7,HepG2,ENCSR624FBY,ENCSR674KEK,"ENCFF094PKO,ENCFF756XSJ,ENCFF649AXE,ENCFF308LRZ","ENCFF228WNK,ENCFF936OPH","ENCFF403ROB,ENCFF962PPW",ENCFF410QSR,ENCFF555SUB,ENCFF822JCQ,ENCFF283VIN,ENCFF752VAO,ENCFF569VTU,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
CEBPZ,HepG2,ENCSR929PXS,ENCSR067GHD,"ENCFF958YTQ,ENCFF954NTL,ENCFF531ZNM,ENCFF233DRW","ENCFF391FXZ,ENCFF925SHM","ENCFF349WOH,ENCFF261FNC",ENCFF184UUP,ENCFF069XDE,ENCFF297XEW,ENCFF885PNF,ENCFF846JEE,ENCFF363CBL,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
U2AF1,HepG2,ENCSR372UWV,ENCSR067GHD,"ENCFF500PDO,ENCFF214WSE,ENCFF897FIU,ENCFF708KQE","ENCFF882SMH,ENCFF811FWH","ENCFF687EIB,ENCFF797IMJ",ENCFF814CAP,ENCFF756SWY,ENCFF935VKN,ENCFF622FSX,ENCFF898LLF,ENCFF639ZRH,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
HNRNPK,HepG2,ENCSR853ZJS,ENCSR237YZT,"ENCFF949CWD,ENCFF106HXI,ENCFF763SDA,ENCFF462KWR","ENCFF589WIS,ENCFF033EZX","ENCFF238QRM,ENCFF536ZWN",ENCFF382MHL,ENCFF655JZX,ENCFF873MCD,ENCFF170OSC,ENCFF763GAE,ENCFF995XAB,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
FAM120A,HepG2,ENCSR047VPW,ENCSR689PHN,"ENCFF844XSA,ENCFF327PBI,ENCFF845TFX,ENCFF841SLY","ENCFF459FNF,ENCFF681TRC","ENCFF412GXB,ENCFF452ACZ",ENCFF535HRU,ENCFF932WWM,ENCFF149YWL,ENCFF854PDJ,ENCFF357QBW,ENCFF004UCA,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
XPO5,HepG2,ENCSR778RWJ,ENCSR279HMU,"ENCFF527PQY,ENCFF497LEB,ENCFF045XSD,ENCFF740IHR","ENCFF580HEE,ENCFF045PJY","ENCFF953ZTM,ENCFF782NCA",ENCFF297DIT,ENCFF907SHH,ENCFF514DOT,ENCFF377OOQ,ENCFF537JWQ,ENCFF854JXN,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
DDX59,HepG2,ENCSR598GKQ,ENCSR264TUE,"ENCFF072QAT,ENCFF435WBC,ENCFF814HNO,ENCFF179KHR","ENCFF201XQE,ENCFF277DTA","ENCFF740OXE,ENCFF430NSX",ENCFF439BAW,ENCFF233RYK,ENCFF919ISH,ENCFF467XYC,ENCFF754XZE,ENCFF502HHA,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
NUFIP2,HepG2,ENCSR584JRB,ENCSR104ABF,"ENCFF264WNW,ENCFF410DNJ,ENCFF039AHJ,ENCFF742VSP","ENCFF102UOY,ENCFF301WWZ","ENCFF203APD,ENCFF222MFA",ENCFF700NVY,ENCFF971BQX,ENCFF116KBB,ENCFF400TBP,ENCFF127MEB,ENCFF218WDL,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
DHX30,HepG2,ENCSR853PBF,ENCSR305XWT,"ENCFF515OEI,ENCFF209LFW,ENCFF942ELT,ENCFF662EPC","ENCFF502YPG,ENCFF180JBY","ENCFF266BXR,ENCFF835QUB",ENCFF678BAP,ENCFF246ZVR,ENCFF188OQP,ENCFF024RYT,ENCFF180ZCX,ENCFF337WHQ,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
SLTM,HepG2,ENCSR185JGT,ENCSR491FOC,"ENCFF557IUI,ENCFF635DCP,ENCFF604PZN,ENCFF870KIO","ENCFF899LRG,ENCFF077NLP","ENCFF526BNH,ENCFF256LZZ",ENCFF119FTO,ENCFF385UUL,ENCFF441BMK,ENCFF276NKK,ENCFF329FOL,ENCFF908ELY,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
FTO,HepG2,ENCSR389HFU,ENCSR264TUE,"ENCFF931KRG,ENCFF678ZHA,ENCFF827UKA,ENCFF509SZZ","ENCFF309YKH,ENCFF623FEY","ENCFF527BXM,ENCFF897XDG",ENCFF309BZV,ENCFF674AGE,ENCFF231XTM,ENCFF920WCU,ENCFF301SKI,ENCFF923FRF,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
NIP7,HepG2,ENCSR696LLZ,ENCSR674KEK,"ENCFF123ZRM,ENCFF403KYM,ENCFF334LGN,ENCFF885RKO","ENCFF652PYP,ENCFF035RWF","ENCFF365NET,ENCFF847PNK",ENCFF308LYA,ENCFF655PXP,ENCFF340LBP,ENCFF495CIQ,ENCFF580TCK,ENCFF471DMZ,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
PPIG,HepG2,ENCSR620HAA,ENCSR246RRQ,"ENCFF764VIK,ENCFF747VCZ,ENCFF890ITA,ENCFF663JMD","ENCFF329FDS,ENCFF965NWJ","ENCFF051HQS,ENCFF984EJF",ENCFF954IPK,ENCFF288UMN,ENCFF939JLY,ENCFF549SKR,ENCFF169NUI,ENCFF608XLX,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
DAZAP1,HepG2,ENCSR220TBR,ENCSR042QTH,"ENCFF313BXR,ENCFF709OSO,ENCFF984IGG,ENCFF071FYQ","ENCFF208PUO,ENCFF808EHG","ENCFF663TNQ,ENCFF095WJB",ENCFF937IXX,ENCFF286FOS,ENCFF319JGO,ENCFF970HUY,ENCFF735XNZ,ENCFF319VOQ,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
SUCLG1,HepG2,ENCSR810JYX,ENCSR042QTH,"ENCFF072SUV,ENCFF818XBZ,ENCFF676KSM,ENCFF876MMB","ENCFF519DOO,ENCFF346DRN","ENCFF237YUH,ENCFF660TEW",ENCFF607PWH,ENCFF324HFY,ENCFF621DJE,ENCFF659OLP,ENCFF026TOF,ENCFF105SVH,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
RPLP0,HepG2,ENCSR000SKS,ENCSR105NML,"ENCFF827AVT,ENCFF540YPZ,ENCFF589FWV,ENCFF215ISD","ENCFF126RPY,ENCFF992YGD","ENCFF866SKC,ENCFF769WAA",ENCFF157CIE,ENCFF732MJQ,ENCFF296ITC,ENCFF084NIP,ENCFF817ALR,ENCFF716FEI,non-target,"ENCFF255GEL,ENCFF930LDL,ENCFF582GSM,ENCFF299GUW","ENCFF534AWV,ENCFF134QUL","ENCFF272JSE,ENCFF816DSO"
SMNDC1,HepG2,ENCSR995ZGJ,ENCSR491FOC,"ENCFF196NMR,ENCFF726OXN,ENCFF272QWU,ENCFF253QAQ","ENCFF360CYQ,ENCFF455QQB","ENCFF619VPC,ENCFF999KPP",ENCFF905DPA,ENCFF612FSV,ENCFF872YQG,ENCFF112OQU,ENCFF751MNR,ENCFF492YPB,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
SRFBP1,HepG2,ENCSR153GKS,ENCSR997HCQ,"ENCFF375YMM,ENCFF435LUO,ENCFF182NGK,ENCFF648RKD","ENCFF438XUW,ENCFF275ZLW","ENCFF476ORF,ENCFF792VLN",ENCFF718HYK,ENCFF056OHL,ENCFF273KKM,ENCFF592QVO,ENCFF724TZX,ENCFF009NXP,non-target,"ENCFF970XPJ,ENCFF295GVT,ENCFF447YTB,ENCFF210CQX","ENCFF715VOF,ENCFF515ZFQ","ENCFF264PIV,ENCFF653VIH"
EIF3D,HepG2,ENCSR788HVK,ENCSR689PHN,"ENCFF306CGQ,ENCFF518YAD,ENCFF516OTK,ENCFF309BTW,ENCFF454XED,ENCFF019NHF","ENCFF121JBQ,ENCFF526QIM","ENCFF172VQL,ENCFF581OJR",ENCFF832DNM,ENCFF546JVY,ENCFF075JCQ,ENCFF831KHV,ENCFF042DSQ,ENCFF274OQW,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
YBX3,HepG2,ENCSR494VSD,ENCSR305XWT,"ENCFF438PPS,ENCFF715FJL,ENCFF552XHQ,ENCFF212RVY","ENCFF118VJE,ENCFF121VWZ","ENCFF852VXW,ENCFF837IIK",ENCFF034NMG,ENCFF608QFL,ENCFF485KBP,ENCFF251JFG,ENCFF682EPA,ENCFF562QAI,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
TBRG4,HepG2,ENCSR741YCA,ENCSR246RRQ,"ENCFF091CHI,ENCFF413BNF,ENCFF121TSO,ENCFF474DJV","ENCFF557WZU,ENCFF088YZA","ENCFF849PQW,ENCFF956JDB",ENCFF114ZAD,ENCFF346IVW,ENCFF631CYZ,ENCFF547JLU,ENCFF943PTE,ENCFF921TXL,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
PCBP2,HepG2,ENCSR028ITN,ENCSR491FOC,"ENCFF263RWL,ENCFF201DAB,ENCFF788TCC,ENCFF017PVQ","ENCFF979AOI,ENCFF918BEM","ENCFF009JME,ENCFF913CAO",ENCFF314GQW,ENCFF330USJ,ENCFF522RJV,ENCFF085BRV,ENCFF510SZH,ENCFF287GBE,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
HSPD1,HepG2,ENCSR243IGA,ENCSR246RRQ,"ENCFF097ZBH,ENCFF670NYL,ENCFF869KEG,ENCFF921UTY","ENCFF394ADM,ENCFF282FHV","ENCFF651MLB,ENCFF287IED",ENCFF482EAP,ENCFF928EZP,ENCFF999DTN,ENCFF265HZF,ENCFF110MZE,ENCFF051WMT,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
PABPC1,HepG2,ENCSR910YNJ,ENCSR279HMU,"ENCFF062EEN,ENCFF531WLW,ENCFF816NNN,ENCFF200BVN","ENCFF748GLV,ENCFF397CTG","ENCFF424UTX,ENCFF781IJG",ENCFF970PCR,ENCFF633WIK,ENCFF021XTN,ENCFF205YVI,ENCFF570PSV,ENCFF550UNM,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
RBFOX2,HepG2,ENCSR767LLP,ENCSR104ABF,"ENCFF040CTS,ENCFF435HLB,ENCFF508QNI,ENCFF201PEI","ENCFF347ERZ,ENCFF946VPZ","ENCFF222JWL,ENCFF042VXF",ENCFF288UJR,ENCFF438HSE,ENCFF211DHH,ENCFF484PBD,ENCFF388VQJ,ENCFF869HET,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
AUH,HepG2,ENCSR409CSO,ENCSR997HCQ,"ENCFF696ZNH,ENCFF423HGY,ENCFF438WRF,ENCFF040XAO","ENCFF085JXU,ENCFF271WBV","ENCFF289ETL,ENCFF100LQD",ENCFF473YVO,ENCFF378QWD,ENCFF321WPE,ENCFF551QTC,ENCFF585BZD,ENCFF608PCE,non-target,"ENCFF970XPJ,ENCFF295GVT,ENCFF447YTB,ENCFF210CQX","ENCFF715VOF,ENCFF515ZFQ","ENCFF264PIV,ENCFF653VIH"
GPKOW,HepG2,ENCSR968YWY,ENCSR264TUE,"ENCFF434KYB,ENCFF233OXM,ENCFF175EBJ,ENCFF705TWV","ENCFF270TJD,ENCFF235AOH","ENCFF165AAM,ENCFF259QFV",ENCFF422CXP,ENCFF351XEU,ENCFF308YQG,ENCFF033ATB,ENCFF607ZGQ,ENCFF931FTY,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
DDX21,HepG2,ENCSR485ZTC,ENCSR003EKR,"ENCFF538ZTF,ENCFF385RFZ,ENCFF296NAD,ENCFF783BQE","ENCFF419TNF,ENCFF276ZGA","ENCFF945IUY,ENCFF195KVQ",ENCFF104TXI,ENCFF453TKE,ENCFF651VMW,ENCFF647LES,ENCFF428IWR,ENCFF185UHK,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
PUM2,HepG2,ENCSR210DML,ENCSR042QTH,"ENCFF037CNE,ENCFF626TNO,ENCFF123DMW,ENCFF958XZI","ENCFF547WSA,ENCFF476YIR","ENCFF876HDX,ENCFF264NFX",ENCFF156NRP,ENCFF227BNP,ENCFF903SRL,ENCFF334ZYM,ENCFF785PNS,ENCFF548OCN,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
XRCC6,HepG2,ENCSR500WHE,ENCSR491FOC,"ENCFF608LYM,ENCFF302LWE,ENCFF061TLX,ENCFF536RCU","ENCFF624WSP,ENCFF707UZQ","ENCFF176KCM,ENCFF435MIO",ENCFF870WKS,ENCFF235GUO,ENCFF993ULH,ENCFF823SJR,ENCFF478JVD,ENCFF549SKU,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
SF3A3,HepG2,ENCSR374NMJ,ENCSR691IVR,"ENCFF715KAE,ENCFF131WOU,ENCFF550GUE,ENCFF223PAF","ENCFF291FDL,ENCFF373JTP","ENCFF984CDS,ENCFF683LMK",ENCFF880FBC,ENCFF868CQM,ENCFF744RCS,ENCFF157WRU,ENCFF047ADM,ENCFF950XNO,non-target,"ENCFF248RMM,ENCFF349QHG,ENCFF947QZH,ENCFF258VUW","ENCFF115BQI,ENCFF715AGI","ENCFF072ZOG,ENCFF573ATS"
ZRANB2,HepG2,ENCSR081QQH,ENCSR491FOC,"ENCFF533CTF,ENCFF701CAJ,ENCFF785OZW,ENCFF022ZFY","ENCFF563FGQ,ENCFF095LYX","ENCFF389SWQ,ENCFF838DES",ENCFF929SRN,ENCFF299VOR,ENCFF529JDD,ENCFF550XGI,ENCFF832ZKI,ENCFF804AGP,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
PUM1,HepG2,ENCSR945XKW,ENCSR042QTH,"ENCFF079KRI,ENCFF653HYB,ENCFF501GRK,ENCFF631NHC","ENCFF005EIM,ENCFF656HFZ","ENCFF434YCL,ENCFF617AAX",ENCFF433MJB,ENCFF172LMD,ENCFF150HFP,ENCFF334PET,ENCFF798PII,ENCFF503KEU,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
PUS1,HepG2,ENCSR296ERI,ENCSR538QOG,"ENCFF495SUF,ENCFF988WOT,ENCFF559ZLS,ENCFF853NIO","ENCFF087JNB,ENCFF377BWN","ENCFF569YNW,ENCFF743UIE",ENCFF165VFE,ENCFF327CZK,ENCFF242JFN,ENCFF796AOS,ENCFF240GVH,ENCFF593YEU,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
