RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
ZC3H8,HepG2,ENCSR696JWA,ENCSR584UYK,"ENCFF149WDM,ENCFF163IDA,ENCFF993RFY,ENCFF881XAZ","ENCFF453IRD,ENCFF634OWT","ENCFF100FFS,ENCFF994ZAW",ENCFF890IUZ,ENCFF971NRT,ENCFF602EYE,ENCFF315FYU,ENCFF942LXF,ENCFF036AHX,non-target,"ENCFF258AKK,ENCFF028JDE,ENCFF988NMV,ENCFF205QCK","ENCFF946XBA,ENCFF752TEZ","ENCFF362OVH,ENCFF502YGT"
SUB1,HepG2,ENCSR997FOT,ENCSR491FOC,"ENCFF886YHH,ENCFF963ZLK,ENCFF844LYQ,ENCFF336JBQ","ENCFF785OWH,ENCFF147AZH","ENCFF432VGJ,ENCFF941HSC",ENCFF146FWD,ENCFF523ZKG,ENCFF677QMA,ENCFF281DNF,ENCFF186RTA,ENCFF437LSM,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
ETF1,HepG2,ENCSR840QOH,ENCSR997HCQ,"ENCFF283BFT,ENCFF144IXI,ENCFF478SRL,ENCFF739UUY","ENCFF298PYT,ENCFF611HBN","ENCFF430YCI,ENCFF336TXK",ENCFF675DIR,ENCFF836SXE,ENCFF206CMW,ENCFF288UOA,ENCFF423OFY,ENCFF744UVK,non-target,"ENCFF970XPJ,ENCFF295GVT,ENCFF447YTB,ENCFF210CQX","ENCFF715VOF,ENCFF515ZFQ","ENCFF264PIV,ENCFF653VIH"
RTF1,HepG2,ENCSR906WTM,ENCSR491FOC,"ENCFF440YFG,ENCFF541TIF,ENCFF336OME,ENCFF050XMB","ENCFF341XOS,ENCFF872WLN","ENCFF092EGW,ENCFF470TWT",ENCFF772PLW,ENCFF516AUO,ENCFF002RRS,ENCFF315QRN,ENCFF514MOA,ENCFF967GEX,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
HNRNPA0,HepG2,ENCSR720BPO,ENCSR279HMU,"ENCFF392EQV,ENCFF862YSI,ENCFF368RSP,ENCFF130ZSK","ENCFF707FIH,ENCFF352GXN","ENCFF872VJD,ENCFF123YYG",ENCFF295KEF,ENCFF496KIS,ENCFF131ZDX,ENCFF812NZJ,ENCFF506WQC,ENCFF844CCV,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
RPS2,HepG2,ENCSR667RIA,ENCSR674KEK,"ENCFF596MWB,ENCFF853XXP,ENCFF742RPW,ENCFF066WRI","ENCFF945DBT,ENCFF791MAQ","ENCFF008BTV,ENCFF576BRC",ENCFF849WUL,ENCFF624SRJ,ENCFF485BSQ,ENCFF252ZLO,ENCFF845YRD,ENCFF586UPA,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
MATR3,HepG2,ENCSR492UFS,ENCSR237YZT,"ENCFF402MVG,ENCFF231BZR,ENCFF968OEL,ENCFF310OEP","ENCFF387CQS,ENCFF878ELZ","ENCFF510HFS,ENCFF543BMR",ENCFF977OBI,ENCFF700OPB,ENCFF024LBX,ENCFF835GCP,ENCFF926ERV,ENCFF547BES,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
HNRNPD,HepG2,ENCSR660MZN,ENCSR279HMU,"ENCFF305RAA,ENCFF997QSH,ENCFF074UEX,ENCFF053TTB","ENCFF616QND,ENCFF549PGZ","ENCFF946NJM,ENCFF466VTO",ENCFF804NBZ,ENCFF326PCA,ENCFF483IQR,ENCFF925OJV,ENCFF388USI,ENCFF098SZR,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
KHDRBS1,HepG2,ENCSR784FTX,ENCSR279HMU,"ENCFF730GDK,ENCFF689XVP,ENCFF909SSA,ENCFF702UDY","ENCFF227TTE,ENCFF354CDR","ENCFF689DEN,ENCFF954PLL",ENCFF161UUY,ENCFF656NZI,ENCFF293VYP,ENCFF846ARY,ENCFF434DLA,ENCFF944PLO,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
ILF2,HepG2,ENCSR366FFV,ENCSR305XWT,"ENCFF272JXX,ENCFF193CZC,ENCFF851RGA,ENCFF184EWI","ENCFF943PEC,ENCFF157XBJ","ENCFF839VYR,ENCFF803JGU",ENCFF229VRE,ENCFF365PPN,ENCFF332YMS,ENCFF310KUF,ENCFF650HWW,ENCFF090FWC,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
