group_id	chunk_id
2372	6
26261	6
1910	6
1140	6
33060	6
15629	6
18345	6
3566	6
8032	6
14914	6
21582	6
23198	6
18345	6
6439	6
5220	6
19043	6
3566	6
14743	6
2302	6
6400	6
8032	6
14363	6
12244	6
18602	6
19275	6
31298	6
24400	6
14363	6
4291	6
5849	6
12433	6
12244	6
30650	6
22356	6
27418	6
18602	6
28246	6
7782	6
2153	6
23057	6
28246	6
20427	6
4075	6
18456	6
7782	6
24336	6
18831	6
19264	6
2153	6
12654	6
18868	6
15939	6
28700	6
25137	6
1725	6
404	6
31705	6
15939	6
13409	6
26500	6
2415	6
5568	6
17704	6
3801	6
28700	6
11767	6
27910	6
14079	6
25137	6
9312	6
29709	6
13409	6
19320	6
30640	6
10963	6
26500	6
19460	6
16020	6
2885	6
2415	6
672	6
4180	6
31094	6
7359	6
32123	6
21556	6
13224	6
4180	6
23996	6
21937	6
25674	6
31094	6
4329	6
28199	6
16923	6
5810	6
16634	6
34	6
7359	6
21147	7
11232	7
23295	7
19382	7
29805	7
16374	7
24855	7
28800	7
13373	7
18215	7
25405	7
33294	7
18712	7
2298	7
20460	7
17907	8
15339	8
9909	8
21062	8
22551	8
5357	8
14694	8
7251	8
10366	8
23360	8
11398	8
16498	8
22489	8
15347	8
26711	8
26477	9
19140	9
3229	9
5976	9
17621	9
25855	9
10158	9
26797	9
23935	9
22582	9
4955	9
16741	9
25114	9
818	9
28831	9
3863	9
23794	9
23569	9
26253	9
23935	9
28276	9
29849	9
21911	9
22582	9
1907	9
16326	9
2013	9
4955	9
23327	9
23646	9
19754	9
17044	9
3863	9
29823	9
8153	9
5161	9
8981	9
18119	9
11164	9
23794	9
1216	9
22504	9
32194	9
23569	9
11237	9
16093	10
9584	10
17358	10
27125	10
11379	10
31224	10
14304	10
25123	10
27204	10
4277	10
14783	10
19221	10
17640	10
27350	10
10520	10
22209	10
13219	10
17640	10
5459	10
206	10
15350	10
27350	10
29819	10
6154	10
28858	10
10520	10
11589	10
3676	10
13142	10
26938	10
3676	10
29483	10
12465	10
11876	10
13142	10
1960	10
26241	10
16052	10
3184	10
21231	10
30245	10
26938	10
30557	10
13090	10
4836	10
30639	11
3109	11
25390	11
925	11
6592	11
19325	11
3891	11
20054	11
16598	11
8422	11
7272	11
20334	11
29255	11
26022	11
33140	11
30639	11
22909	11
7441	11
15418	11
3109	11
7737	11
26672	11
7260	11
32115	11
16475	11
8030	11
25390	11
7448	11
29315	11
33145	11
13902	11
16273	11
30486	11
32115	11
29889	11
20947	11
9636	11
16475	11
7678	11
23759	11
13416	11
8030	11
11695	11
16262	11
10875	11
5282	12
29341	12
11575	12
7954	12
1738	12
28749	12
26539	12
31587	12
29260	12
21099	12
8036	12
18443	12
32330	12
1023	12
1893	12
4923	12
31763	12
8683	12
30617	12
1738	12
22299	12
2392	12
14539	12
28749	12
19716	12
14853	12
18485	12
26539	12
17877	12
6309	12
29457	13
11572	13
9390	13
