Protein_id	Gene_name	Gene_description
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:O75312	ZPR1	Zinc finger protein ZPR1
UniProtKB:Q9Y4C8	RBM19	Probable RNA-binding protein 19
UniProtKB:O43251	RBFOX2	RNA binding protein fox-1 homolog 2
UniProtKB:O43251	RBFOX2	RNA binding protein fox-1 homolog 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:P49761	CLK3	Dual specificity protein kinase CLK3
UniProtKB:P49760	CLK2	Dual specificity protein kinase CLK2
UniProtKB:P49759	CLK1	Dual specificity protein kinase CLK1
UniProtKB:P49756	RBM25	RNA-binding protein 25
UniProtKB:P49756	RBM25	RNA-binding protein 25
